equipment_type_desc,circuit_label_type_desc,sum_power,category
Baseboard Heat 1,Electric Baseboard Heaters,15.329,Heating
Baseboard Heat 2,Electric Baseboard Heaters,0.017,Heating
Baseboard Heat 3,Electric Baseboard Heaters,84.527,Heating
Baseboard Heat 4,Electric Baseboard Heaters,0.001,Heating
Baseboard Heat 5,Electric Baseboard Heaters,14.687000000000001,Heating
Baseboard Heater 1,Electric Baseboard Heaters,35.201,Heating
Baseboard Heater 2,Electric Baseboard Heaters,4239.708,Heating
Baseboard Heater 3,Electric Baseboard Heaters,1001.006,Heating
Baseboard Heater 4,Electric Baseboard Heaters,25.17,Heating
Basement,Other,287.318,Other
"Basement Bedroom, Unknown",Other,562.712,Other
Basement Furnace,Gas Furnace (Component),271.988,Heating
"Basement Garage, Den TV Room, Office",Other,323.983,Other
Basement Light By Freezer Only,Other,0.083,Other
Basement Lights,Other,156.299,Other
"Basement Lights , Etc.",Other,37.565,Other
Basement Lights And Outlets,Other,101.282,Other
"Basement Lights, Etc.",Other,188.885,Other
